OBJECT_TYPE;TABLE_CATALOG;TABLE_SCHEMA;OBJECT_NAME;DATA_AREA;OBJECT_TYPE;DESCRIPTION;BUSINESS_OWNER_PERSON;BUSINESS_OWNER_DEPARTMENT;DATA_SME;ACTIVE_FLAG;SQL_SAMPLES
TABLE;MO;dbo;L0001_PERFORMANCE_RAP_EXCEL_PRIOR_PERIODS_MV;PERFORMANCE;WORK;Anvendes til udarbejdes af RAP i excel format;SUSANNE ;DVR;MAJKEN;1;
TABLE;MO;dbo;L0001_PERFORMANCE_RECONCILATION_AGG;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_RECONCILATION_KASSER;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_RECONCILATION_KASSER2;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_RECONCILATION_V1;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_STRATEGIC_BENCHMARK_CONFIG_OLD;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_STRATEGIC_BENCHMARK_RISIKO_BASERET;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_KASSE_EXPENSES;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_KASSE_RESULT;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_KASSE_RISIKO_MP;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_KASSE_RISIKO_STRATEGISK_BM;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_KASSE_SCD;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_KASSE_TRS;PERFORMANCE;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRANS_SKYLDIG_PAL;PERFORMANCE;WORK;Skyldig PAL fremkommer i denne tabel;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRS_ALLOCATION_CONFIG;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRS_ALLOCATION_CONFIG_TRANS;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_TRS_ALLOCATION_TRANS;OLD;WORK;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_00_SCD_SEC_MV;GENNEMLYSNING;;;;;;1;
VIEW;MO;dbo;L0002_00_SCD_SEC_MV_V;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_01_STAT_REAL_EIB_WEIGHT;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_01_STAT_REAL_OBLIGATIONER_GENNEMLYST;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_01_STAT_REAL_OBLIGATIONER_GENNEMLYST_010_PRE;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_01_STAT_REAL_OBLIGATIONER_GENNEMLYST_020_WEIGHT_CALC;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_03_HY_NPA;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_03_HY_OTHER_MAPPING_LAND;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_03_HY_OTHER_MAPPING_SEKTOR;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_04_EM_GLOBAL_EVOLUTION_NAV_REPORT;GENNEMLYSNING;;;;;;1;
VIEW;MO;dbo;L0002_04_EM_GLOBAL_EVOLUTION_NAV_REPORT_V;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_04_EM_GLOBAL_EVOLUTION_POSITION_REPORT;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_04_EM_SAMLET_GENNEMLYSNING;GENNEMLYSNING;;;;;;1;
TABLE;MO;dbo;L0002_05_NOTERET_AKTIERAPPORT_HISTORISK;GENNEMLYSNING;WORK;Historisk aktiegennemlysningstal udstilles her. Sidste dataset er pr. 2023-03-31;Christian Kaae Eriksen;Investering;Claus;1;
TABLE;MO;dbo;L0002_05_NOTERET_AKTIERAPPORT_NUV;GENNEMLYSNING;WORK;Nye aktiegennemlysningstal udstilles i denne tabel;Christian Kaae Eriksen;Investering;Claus;1;
VIEW;MO;dbo;L0002_05_NOTERET_AKTIERAPPORT_V;GENNEMLYSNING;PRESENTATION;Udstilling af aktiegennemlysning ;Christian Kaae Eriksen;Investering;Claus;1;
TABLE;MO;dbo;L0002_05_NOTERET_MIN_VOL;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_05_NOTERET_MIN_VOL_BLACKROCK;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_05_NOTERET_MIN_VOL_BLACKROCK_MAPPING;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_05_NOTERET_NPA_POSITION_REPORT;GENNEMLYSNING;PRESENTATION;Positionsrapporter fra NPA (Nykredit) udstilles i denne tabel;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_IIP_DETAILS;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE, erstattet af nyt IIP setup;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_IIP_KEY;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE, erstattet af nyt IIP setup;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_IIP_PERFCALC_OLD;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE, erstattet af nyt IIP setup;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_IIP_RISK_ASSESSMENT;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE, erstattet af nyt IIP setup;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_IIP_VALUATION_OUTPUT_BASE;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE, erstattet af nyt IIP setup;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_IIP_VALUATION_OUTPUT_LOCAL;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE, erstattet af nyt IIP setup;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_MAJINVEST_DETAILS;GENNEMLYSNING;PRESENTATION;Tabel der udstiller de underliggende investering (Level3) i MajInvest fonde (Company Name, Land, Industri);;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_MAJINVEST_KEY;GENNEMLYSNING;PRESENTATION;SKAL UDSØGES NÆRMERE. Der fremkommer vægte per. Kasse - Hvor anvendes disse henne ?;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_MAJINVEST_RISK_ASSESSMENT;GENNEMLYSNING;PRESENTATION;Tabel der udstilles Risk Assesment for Maj Invest på de underliggende investeringer (Level2);;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_MAJINVEST_SECID_MAPPING;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE. MajInvest levere nu PKA_SEC_ID. Derfor er der ikke behov for denne tabel;;;;1;
TABLE;MO;dbo;L0002_06_UNOTERET_MAJINVEST_SUMMARY;GENNEMLYSNING;PRESENTATION;Tabel der udstiller fonds metrikker commitment, performance etc på Maj Invest fonde;;;;1;
